level,col2,blk,col4,tuple,col6,space,col8,col9
0(l:0),blk:,0,numTuple:,10,free:,7868b(3.58%),rightlink:4294967295,(InvalidBlockNumber)
1(l:1),blk:,3,numTuple:,216,free:,2100b(74.26%),rightlink:4,(OK)
2(l:1),blk:,5,numTuple:,87,free:,5712b(30.00%),rightlink:4294967295,(InvalidBlockNumber)
3(l:1),blk:,6,numTuple:,146,free:,4060b(50.25%),rightlink:5,(OK)
4(l:1),blk:,7,numTuple:,45,free:,6888b(15.59%),rightlink:2,(OK)
5(l:1),blk:,1,numTuple:,211,free:,2240b(72.55%),rightlink:8,(OK)
6(l:1),blk:,8,numTuple:,187,free:,2912b(64.31%),rightlink:7,(OK)
7(l:1),blk:,4,numTuple:,188,free:,2884b(64.66%),rightlink:9,(OK)
8(l:1),blk:,9,numTuple:,157,free:,3752b(54.02%),rightlink:6,(OK)
9(l:1),blk:,2,numTuple:,96,free:,5460b(33.09%),rightlink:10,(OK)
10(l:1),blk:,10,numTuple:,170,free:,3388b(58.48%),rightlink:3,(OK)
